TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:34:52 GMT+0400 (Gulf Standard Time),57546616,6082
Sun Aug 16 2020 16:34:55 GMT+0400 (Gulf Standard Time),57546617,2996
Sun Aug 16 2020 16:34:58 GMT+0400 (Gulf Standard Time),57546618,3095
Sun Aug 16 2020 16:35:04 GMT+0400 (Gulf Standard Time),57546619,6215
Sun Aug 16 2020 16:35:07 GMT+0400 (Gulf Standard Time),57546620,2680
Sun Aug 16 2020 16:35:10 GMT+0400 (Gulf Standard Time),57546621,2981
Sun Aug 16 2020 16:35:16 GMT+0400 (Gulf Standard Time),57546622,5960
Sun Aug 16 2020 16:35:19 GMT+0400 (Gulf Standard Time),57546623,3003
Sun Aug 16 2020 16:35:22 GMT+0400 (Gulf Standard Time),57546624,3059
Sun Aug 16 2020 16:35:28 GMT+0400 (Gulf Standard Time),57546625,6048
Sun Aug 16 2020 16:35:31 GMT+0400 (Gulf Standard Time),57546626,2909
Sun Aug 16 2020 16:35:34 GMT+0400 (Gulf Standard Time),57546627,3028
Sun Aug 16 2020 16:35:40 GMT+0400 (Gulf Standard Time),57546628,6203
Sun Aug 16 2020 16:35:43 GMT+0400 (Gulf Standard Time),57546629,2950
Sun Aug 16 2020 16:35:46 GMT+0400 (Gulf Standard Time),57546630,2920
Sun Aug 16 2020 16:35:49 GMT+0400 (Gulf Standard Time),57546631,3018
Sun Aug 16 2020 16:35:55 GMT+0400 (Gulf Standard Time),57546632,5999
Sun Aug 16 2020 16:35:58 GMT+0400 (Gulf Standard Time),57546633,3011
Sun Aug 16 2020 16:36:01 GMT+0400 (Gulf Standard Time),57546634,2968
Sun Aug 16 2020 16:36:07 GMT+0400 (Gulf Standard Time),57546635,6201
Sun Aug 16 2020 16:36:10 GMT+0400 (Gulf Standard Time),57546636,2928
Sun Aug 16 2020 16:36:13 GMT+0400 (Gulf Standard Time),57546637,2974
Sun Aug 16 2020 16:36:19 GMT+0400 (Gulf Standard Time),57546638,6043
Sun Aug 16 2020 16:36:22 GMT+0400 (Gulf Standard Time),57546639,3010
Sun Aug 16 2020 16:36:25 GMT+0400 (Gulf Standard Time),57546640,3099
Sun Aug 16 2020 16:36:31 GMT+0400 (Gulf Standard Time),57546641,5712
Sun Aug 16 2020 16:36:34 GMT+0400 (Gulf Standard Time),57546642,3075
Sun Aug 16 2020 16:36:37 GMT+0400 (Gulf Standard Time),57546643,2965
Sun Aug 16 2020 16:36:40 GMT+0400 (Gulf Standard Time),57546644,3186
Sun Aug 16 2020 16:36:46 GMT+0400 (Gulf Standard Time),57546645,5803
Sun Aug 16 2020 16:36:49 GMT+0400 (Gulf Standard Time),57546646,2991
Sun Aug 16 2020 16:36:52 GMT+0400 (Gulf Standard Time),57546647,3104
Sun Aug 16 2020 16:36:58 GMT+0400 (Gulf Standard Time),57546648,6185
Sun Aug 16 2020 16:37:01 GMT+0400 (Gulf Standard Time),57546649,3021
Sun Aug 16 2020 16:37:04 GMT+0400 (Gulf Standard Time),57546650,2905
Sun Aug 16 2020 16:37:07 GMT+0400 (Gulf Standard Time),57546651,2977
Sun Aug 16 2020 16:37:13 GMT+0400 (Gulf Standard Time),57546652,5922
Sun Aug 16 2020 16:37:16 GMT+0400 (Gulf Standard Time),57546653,2954
Sun Aug 16 2020 16:37:19 GMT+0400 (Gulf Standard Time),57546654,3071
Sun Aug 16 2020 16:37:25 GMT+0400 (Gulf Standard Time),57546655,6264
Sun Aug 16 2020 16:37:28 GMT+0400 (Gulf Standard Time),57546656,2618
Sun Aug 16 2020 16:37:31 GMT+0400 (Gulf Standard Time),57546657,2971
Sun Aug 16 2020 16:37:37 GMT+0400 (Gulf Standard Time),57546658,6204
Sun Aug 16 2020 16:37:40 GMT+0400 (Gulf Standard Time),57546659,3066
Sun Aug 16 2020 16:37:43 GMT+0400 (Gulf Standard Time),57546660,2963
Sun Aug 16 2020 16:37:49 GMT+0400 (Gulf Standard Time),57546661,6063
Sun Aug 16 2020 16:37:52 GMT+0400 (Gulf Standard Time),57546662,2766
Sun Aug 16 2020 16:37:55 GMT+0400 (Gulf Standard Time),57546663,3011
Sun Aug 16 2020 16:38:01 GMT+0400 (Gulf Standard Time),57546664,6053
Sun Aug 16 2020 16:38:04 GMT+0400 (Gulf Standard Time),57546665,3099
Sun Aug 16 2020 16:38:07 GMT+0400 (Gulf Standard Time),57546666,2984
Sun Aug 16 2020 16:38:13 GMT+0400 (Gulf Standard Time),57546667,5878
Sun Aug 16 2020 16:38:16 GMT+0400 (Gulf Standard Time),57546668,2963
Sun Aug 16 2020 16:38:19 GMT+0400 (Gulf Standard Time),57546669,3072
Sun Aug 16 2020 16:38:25 GMT+0400 (Gulf Standard Time),57546670,5934
Sun Aug 16 2020 16:38:28 GMT+0400 (Gulf Standard Time),57546671,3129
Sun Aug 16 2020 16:38:31 GMT+0400 (Gulf Standard Time),57546672,2998
Sun Aug 16 2020 16:38:37 GMT+0400 (Gulf Standard Time),57546673,5935
Sun Aug 16 2020 16:38:40 GMT+0400 (Gulf Standard Time),57546674,3160
Sun Aug 16 2020 16:38:43 GMT+0400 (Gulf Standard Time),57546675,2964
Sun Aug 16 2020 16:38:49 GMT+0400 (Gulf Standard Time),57546676,6094
Sun Aug 16 2020 16:38:52 GMT+0400 (Gulf Standard Time),57546677,2888
Sun Aug 16 2020 16:38:55 GMT+0400 (Gulf Standard Time),57546678,2997
Sun Aug 16 2020 16:38:58 GMT+0400 (Gulf Standard Time),57546679,2911
Sun Aug 16 2020 16:39:04 GMT+0400 (Gulf Standard Time),57546680,5926
Sun Aug 16 2020 16:39:07 GMT+0400 (Gulf Standard Time),57546681,2993
Sun Aug 16 2020 16:39:10 GMT+0400 (Gulf Standard Time),57546682,3286
Sun Aug 16 2020 16:39:16 GMT+0400 (Gulf Standard Time),57546683,5961
Sun Aug 16 2020 16:39:19 GMT+0400 (Gulf Standard Time),57546684,2952
Sun Aug 16 2020 16:39:22 GMT+0400 (Gulf Standard Time),57546685,2973
Sun Aug 16 2020 16:39:28 GMT+0400 (Gulf Standard Time),57546686,6005
Sun Aug 16 2020 16:39:31 GMT+0400 (Gulf Standard Time),57546687,3039
Sun Aug 16 2020 16:39:34 GMT+0400 (Gulf Standard Time),57546688,3086
Sun Aug 16 2020 16:39:40 GMT+0400 (Gulf Standard Time),57546689,5922
Sun Aug 16 2020 16:39:43 GMT+0400 (Gulf Standard Time),57546690,2973
Sun Aug 16 2020 16:39:46 GMT+0400 (Gulf Standard Time),57546691,2899
Sun Aug 16 2020 16:39:52 GMT+0400 (Gulf Standard Time),57546692,5947
Sun Aug 16 2020 16:39:55 GMT+0400 (Gulf Standard Time),57546693,3095
Sun Aug 16 2020 16:39:58 GMT+0400 (Gulf Standard Time),57546694,2934
Sun Aug 16 2020 16:40:01 GMT+0400 (Gulf Standard Time),57546695,3001
Sun Aug 16 2020 16:40:07 GMT+0400 (Gulf Standard Time),57546696,5984
Sun Aug 16 2020 16:40:10 GMT+0400 (Gulf Standard Time),57546697,3181
Sun Aug 16 2020 16:40:13 GMT+0400 (Gulf Standard Time),57546698,2984
Sun Aug 16 2020 16:40:19 GMT+0400 (Gulf Standard Time),57546699,6006
Sun Aug 16 2020 16:40:22 GMT+0400 (Gulf Standard Time),57546700,3094
Sun Aug 16 2020 16:40:25 GMT+0400 (Gulf Standard Time),57546701,2899
Sun Aug 16 2020 16:40:28 GMT+0400 (Gulf Standard Time),57546702,3050
Sun Aug 16 2020 16:40:34 GMT+0400 (Gulf Standard Time),57546703,6014
Sun Aug 16 2020 16:40:37 GMT+0400 (Gulf Standard Time),57546704,2929
Sun Aug 16 2020 16:40:40 GMT+0400 (Gulf Standard Time),57546705,3114
Sun Aug 16 2020 16:40:46 GMT+0400 (Gulf Standard Time),57546706,5949
Sun Aug 16 2020 16:40:49 GMT+0400 (Gulf Standard Time),57546707,2953
Sun Aug 16 2020 16:40:52 GMT+0400 (Gulf Standard Time),57546708,2870
Sun Aug 16 2020 16:40:58 GMT+0400 (Gulf Standard Time),57546709,6156
Sun Aug 16 2020 16:41:01 GMT+0400 (Gulf Standard Time),57546710,3002
Sun Aug 16 2020 16:41:04 GMT+0400 (Gulf Standard Time),57546711,2890
Sun Aug 16 2020 16:41:10 GMT+0400 (Gulf Standard Time),57546712,6064
Sun Aug 16 2020 16:41:13 GMT+0400 (Gulf Standard Time),57546713,2946
Sun Aug 16 2020 16:41:16 GMT+0400 (Gulf Standard Time),57546714,3095
Sun Aug 16 2020 16:41:22 GMT+0400 (Gulf Standard Time),57546715,5854
Sun Aug 16 2020 16:41:25 GMT+0400 (Gulf Standard Time),57546716,3035
Sun Aug 16 2020 16:41:28 GMT+0400 (Gulf Standard Time),57546717,3073
Sun Aug 16 2020 16:41:31 GMT+0400 (Gulf Standard Time),57546718,2972
Sun Aug 16 2020 16:41:37 GMT+0400 (Gulf Standard Time),57546719,6243
Sun Aug 16 2020 16:41:40 GMT+0400 (Gulf Standard Time),57546720,2788
Sun Aug 16 2020 16:41:43 GMT+0400 (Gulf Standard Time),57546721,2966
Sun Aug 16 2020 16:41:49 GMT+0400 (Gulf Standard Time),57546722,6183
Sun Aug 16 2020 16:41:52 GMT+0400 (Gulf Standard Time),57546723,2913
Sun Aug 16 2020 16:41:55 GMT+0400 (Gulf Standard Time),57546724,3013
Sun Aug 16 2020 16:42:01 GMT+0400 (Gulf Standard Time),57546725,6160
Sun Aug 16 2020 16:42:04 GMT+0400 (Gulf Standard Time),57546726,2810
Sun Aug 16 2020 16:42:07 GMT+0400 (Gulf Standard Time),57546727,2893
Sun Aug 16 2020 16:42:13 GMT+0400 (Gulf Standard Time),57546728,6014
Sun Aug 16 2020 16:42:16 GMT+0400 (Gulf Standard Time),57546729,3108
Sun Aug 16 2020 16:42:19 GMT+0400 (Gulf Standard Time),57546730,3082
Sun Aug 16 2020 16:42:22 GMT+0400 (Gulf Standard Time),57546731,2824
Sun Aug 16 2020 16:42:28 GMT+0400 (Gulf Standard Time),57546732,6206
Sun Aug 16 2020 16:42:31 GMT+0400 (Gulf Standard Time),57546733,2892
Sun Aug 16 2020 16:42:34 GMT+0400 (Gulf Standard Time),57546734,3003
Sun Aug 16 2020 16:42:37 GMT+0400 (Gulf Standard Time),57546735,2933
Sun Aug 16 2020 16:42:43 GMT+0400 (Gulf Standard Time),57546736,6293
Sun Aug 16 2020 16:42:46 GMT+0400 (Gulf Standard Time),57546737,2820
Sun Aug 16 2020 16:42:49 GMT+0400 (Gulf Standard Time),57546738,3028
Sun Aug 16 2020 16:42:55 GMT+0400 (Gulf Standard Time),57546739,5956
Sun Aug 16 2020 16:42:58 GMT+0400 (Gulf Standard Time),57546740,2972
Sun Aug 16 2020 16:43:01 GMT+0400 (Gulf Standard Time),57546741,3050
Sun Aug 16 2020 16:43:04 GMT+0400 (Gulf Standard Time),57546742,2830
Sun Aug 16 2020 16:43:10 GMT+0400 (Gulf Standard Time),57546743,5997
Sun Aug 16 2020 16:43:13 GMT+0400 (Gulf Standard Time),57546744,3006
Sun Aug 16 2020 16:43:16 GMT+0400 (Gulf Standard Time),57546745,3006
Sun Aug 16 2020 16:43:22 GMT+0400 (Gulf Standard Time),57546746,6015
Sun Aug 16 2020 16:43:25 GMT+0400 (Gulf Standard Time),57546747,2987
Sun Aug 16 2020 16:43:28 GMT+0400 (Gulf Standard Time),57546748,3061
Sun Aug 16 2020 16:43:34 GMT+0400 (Gulf Standard Time),57546749,6148
Sun Aug 16 2020 16:43:37 GMT+0400 (Gulf Standard Time),57546750,2963
Sun Aug 16 2020 16:43:40 GMT+0400 (Gulf Standard Time),57546751,2965
Sun Aug 16 2020 16:43:46 GMT+0400 (Gulf Standard Time),57546752,5939
Sun Aug 16 2020 16:43:49 GMT+0400 (Gulf Standard Time),57546753,3156
Sun Aug 16 2020 16:43:52 GMT+0400 (Gulf Standard Time),57546754,2884
Sun Aug 16 2020 16:43:58 GMT+0400 (Gulf Standard Time),57546755,6149
Sun Aug 16 2020 16:44:01 GMT+0400 (Gulf Standard Time),57546756,3022
Sun Aug 16 2020 16:44:04 GMT+0400 (Gulf Standard Time),57546757,2740
Sun Aug 16 2020 16:44:07 GMT+0400 (Gulf Standard Time),57546758,3041
Sun Aug 16 2020 16:44:13 GMT+0400 (Gulf Standard Time),57546759,6044
Sun Aug 16 2020 16:44:16 GMT+0400 (Gulf Standard Time),57546760,3021
Sun Aug 16 2020 16:44:19 GMT+0400 (Gulf Standard Time),57546761,3045
Sun Aug 16 2020 16:44:25 GMT+0400 (Gulf Standard Time),57546762,5923
Sun Aug 16 2020 16:44:28 GMT+0400 (Gulf Standard Time),57546763,2968
Sun Aug 16 2020 16:44:31 GMT+0400 (Gulf Standard Time),57546764,2958
Sun Aug 16 2020 16:44:37 GMT+0400 (Gulf Standard Time),57546765,6046
Sun Aug 16 2020 16:44:40 GMT+0400 (Gulf Standard Time),57546766,3060
Sun Aug 16 2020 16:44:43 GMT+0400 (Gulf Standard Time),57546767,2974
Sun Aug 16 2020 16:44:46 GMT+0400 (Gulf Standard Time),57546768,2948
Sun Aug 16 2020 16:44:52 GMT+0400 (Gulf Standard Time),57546769,6070
Sun Aug 16 2020 16:44:55 GMT+0400 (Gulf Standard Time),57546770,2968
Sun Aug 16 2020 16:44:58 GMT+0400 (Gulf Standard Time),57546771,3133
Sun Aug 16 2020 16:45:01 GMT+0400 (Gulf Standard Time),57546772,3073
Sun Aug 16 2020 16:45:07 GMT+0400 (Gulf Standard Time),57546773,5790
Sun Aug 16 2020 16:45:10 GMT+0400 (Gulf Standard Time),57546774,3080
Sun Aug 16 2020 16:45:16 GMT+0400 (Gulf Standard Time),57546775,6079
Sun Aug 16 2020 16:45:19 GMT+0400 (Gulf Standard Time),57546776,3076
Sun Aug 16 2020 16:45:22 GMT+0400 (Gulf Standard Time),57546777,2950
Sun Aug 16 2020 16:45:25 GMT+0400 (Gulf Standard Time),57546778,2946
Sun Aug 16 2020 16:45:31 GMT+0400 (Gulf Standard Time),57546779,5935
Sun Aug 16 2020 16:45:34 GMT+0400 (Gulf Standard Time),57546780,3042
Sun Aug 16 2020 16:45:37 GMT+0400 (Gulf Standard Time),57546781,2936
Sun Aug 16 2020 16:45:43 GMT+0400 (Gulf Standard Time),57546782,6129
Sun Aug 16 2020 16:45:46 GMT+0400 (Gulf Standard Time),57546783,2830
Sun Aug 16 2020 16:45:49 GMT+0400 (Gulf Standard Time),57546784,3067
Sun Aug 16 2020 16:45:55 GMT+0400 (Gulf Standard Time),57546785,6108
Sun Aug 16 2020 16:45:58 GMT+0400 (Gulf Standard Time),57546786,2858
Sun Aug 16 2020 16:46:01 GMT+0400 (Gulf Standard Time),57546787,3021
Sun Aug 16 2020 16:46:04 GMT+0400 (Gulf Standard Time),57546788,3105
Sun Aug 16 2020 16:46:10 GMT+0400 (Gulf Standard Time),57546789,6050
Sun Aug 16 2020 16:46:13 GMT+0400 (Gulf Standard Time),57546790,2976
Sun Aug 16 2020 16:46:16 GMT+0400 (Gulf Standard Time),57546791,2826
Sun Aug 16 2020 16:46:22 GMT+0400 (Gulf Standard Time),57546792,6186
Sun Aug 16 2020 16:46:25 GMT+0400 (Gulf Standard Time),57546793,2979
Sun Aug 16 2020 16:46:28 GMT+0400 (Gulf Standard Time),57546794,2911
Sun Aug 16 2020 16:46:34 GMT+0400 (Gulf Standard Time),57546795,5983
Sun Aug 16 2020 16:46:37 GMT+0400 (Gulf Standard Time),57546796,3019
Sun Aug 16 2020 16:46:40 GMT+0400 (Gulf Standard Time),57546797,2968
Sun Aug 16 2020 16:46:46 GMT+0400 (Gulf Standard Time),57546798,6059
Sun Aug 16 2020 16:46:49 GMT+0400 (Gulf Standard Time),57546799,2962
Sun Aug 16 2020 16:46:52 GMT+0400 (Gulf Standard Time),57546800,2964
Sun Aug 16 2020 16:46:55 GMT+0400 (Gulf Standard Time),57546801,3017
Sun Aug 16 2020 16:47:02 GMT+0400 (Gulf Standard Time),57546802,6427
Sun Aug 16 2020 16:47:04 GMT+0400 (Gulf Standard Time),57546803,2803
Sun Aug 16 2020 16:47:07 GMT+0400 (Gulf Standard Time),57546804,2925
Sun Aug 16 2020 16:47:13 GMT+0400 (Gulf Standard Time),57546805,5864
Sun Aug 16 2020 16:47:16 GMT+0400 (Gulf Standard Time),57546806,3069
Sun Aug 16 2020 16:47:20 GMT+0400 (Gulf Standard Time),57546807,3244
Sun Aug 16 2020 16:47:25 GMT+0400 (Gulf Standard Time),57546808,5943
Sun Aug 16 2020 16:47:28 GMT+0400 (Gulf Standard Time),57546809,2907
Sun Aug 16 2020 16:47:31 GMT+0400 (Gulf Standard Time),57546810,2972
Sun Aug 16 2020 16:47:34 GMT+0400 (Gulf Standard Time),57546811,2851
Sun Aug 16 2020 16:47:40 GMT+0400 (Gulf Standard Time),57546812,6100
Sun Aug 16 2020 16:47:43 GMT+0400 (Gulf Standard Time),57546813,3016
Sun Aug 16 2020 16:47:46 GMT+0400 (Gulf Standard Time),57546814,3077
Sun Aug 16 2020 16:47:52 GMT+0400 (Gulf Standard Time),57546815,6054
Sun Aug 16 2020 16:47:55 GMT+0400 (Gulf Standard Time),57546816,2962
Sun Aug 16 2020 16:47:58 GMT+0400 (Gulf Standard Time),57546817,3076
Sun Aug 16 2020 16:48:01 GMT+0400 (Gulf Standard Time),57546818,2993
Sun Aug 16 2020 16:48:07 GMT+0400 (Gulf Standard Time),57546819,5726
Sun Aug 16 2020 16:48:10 GMT+0400 (Gulf Standard Time),57546820,3020
Sun Aug 16 2020 16:48:13 GMT+0400 (Gulf Standard Time),57546821,3065
Sun Aug 16 2020 16:48:19 GMT+0400 (Gulf Standard Time),57546822,6080
Sun Aug 16 2020 16:48:22 GMT+0400 (Gulf Standard Time),57546823,3006
Sun Aug 16 2020 16:48:25 GMT+0400 (Gulf Standard Time),57546824,3051
Sun Aug 16 2020 16:48:31 GMT+0400 (Gulf Standard Time),57546825,6002
Sun Aug 16 2020 16:48:34 GMT+0400 (Gulf Standard Time),57546826,2983
Sun Aug 16 2020 16:48:37 GMT+0400 (Gulf Standard Time),57546827,3045
Sun Aug 16 2020 16:48:43 GMT+0400 (Gulf Standard Time),57546828,5834
Sun Aug 16 2020 16:48:46 GMT+0400 (Gulf Standard Time),57546829,3122
Sun Aug 16 2020 16:48:50 GMT+0400 (Gulf Standard Time),57546830,3085
Sun Aug 16 2020 16:48:52 GMT+0400 (Gulf Standard Time),57546831,2814
Sun Aug 16 2020 16:48:58 GMT+0400 (Gulf Standard Time),57546832,5965
Sun Aug 16 2020 16:49:01 GMT+0400 (Gulf Standard Time),57546833,3051
Sun Aug 16 2020 16:49:05 GMT+0400 (Gulf Standard Time),57546834,3216
Sun Aug 16 2020 16:49:10 GMT+0400 (Gulf Standard Time),57546835,5868
Sun Aug 16 2020 16:49:13 GMT+0400 (Gulf Standard Time),57546836,2994
Sun Aug 16 2020 16:49:16 GMT+0400 (Gulf Standard Time),57546837,3008
Sun Aug 16 2020 16:49:22 GMT+0400 (Gulf Standard Time),57546838,6043
Sun Aug 16 2020 16:49:25 GMT+0400 (Gulf Standard Time),57546839,2957
Sun Aug 16 2020 16:49:29 GMT+0400 (Gulf Standard Time),57546840,3130
Sun Aug 16 2020 16:49:32 GMT+0400 (Gulf Standard Time),57546841,2979
Sun Aug 16 2020 16:49:37 GMT+0400 (Gulf Standard Time),57546842,5892
Sun Aug 16 2020 16:49:40 GMT+0400 (Gulf Standard Time),57546843,3070
Sun Aug 16 2020 16:49:43 GMT+0400 (Gulf Standard Time),57546844,2952
Sun Aug 16 2020 16:49:49 GMT+0400 (Gulf Standard Time),57546845,6048
Sun Aug 16 2020 16:49:52 GMT+0400 (Gulf Standard Time),57546846,2970
Sun Aug 16 2020 16:49:55 GMT+0400 (Gulf Standard Time),57546847,2949
Sun Aug 16 2020 16:50:01 GMT+0400 (Gulf Standard Time),57546848,5871
Sun Aug 16 2020 16:50:04 GMT+0400 (Gulf Standard Time),57546849,3133
Sun Aug 16 2020 16:50:07 GMT+0400 (Gulf Standard Time),57546850,2915
Sun Aug 16 2020 16:50:10 GMT+0400 (Gulf Standard Time),57546851,3143
Sun Aug 16 2020 16:50:16 GMT+0400 (Gulf Standard Time),57546852,5837
Sun Aug 16 2020 16:50:19 GMT+0400 (Gulf Standard Time),57546853,3045
Sun Aug 16 2020 16:50:23 GMT+0400 (Gulf Standard Time),57546854,3166
Sun Aug 16 2020 16:50:28 GMT+0400 (Gulf Standard Time),57546855,5772
Sun Aug 16 2020 16:50:31 GMT+0400 (Gulf Standard Time),57546856,3006
Sun Aug 16 2020 16:50:34 GMT+0400 (Gulf Standard Time),57546857,3009
Sun Aug 16 2020 16:50:38 GMT+0400 (Gulf Standard Time),57546858,3377
Sun Aug 16 2020 16:50:44 GMT+0400 (Gulf Standard Time),57546859,5935
Sun Aug 16 2020 16:50:46 GMT+0400 (Gulf Standard Time),57546860,2760
Sun Aug 16 2020 16:50:49 GMT+0400 (Gulf Standard Time),57546861,2921
Sun Aug 16 2020 16:50:55 GMT+0400 (Gulf Standard Time),57546862,6016
Sun Aug 16 2020 16:50:59 GMT+0400 (Gulf Standard Time),57546863,3190
Sun Aug 16 2020 16:51:01 GMT+0400 (Gulf Standard Time),57546864,2965
Sun Aug 16 2020 16:51:07 GMT+0400 (Gulf Standard Time),57546865,5907
Sun Aug 16 2020 16:51:10 GMT+0400 (Gulf Standard Time),57546866,2966
Sun Aug 16 2020 16:51:13 GMT+0400 (Gulf Standard Time),57546867,3077
Sun Aug 16 2020 16:51:16 GMT+0400 (Gulf Standard Time),57546868,2911
